TABLE_NAME	COLUMN_NAME	SEQ_IN_INDEX	NON_UNIQUE	INDEX_NAME
branch_head_assignments	branch_head_id	1	0	unique_assignment
branch_head_assignments	branch_name	2	0	unique_assignment
branch_master	branch_code	1	0	branch_code
branch_master	active_status	1	1	idx_branch_master_active
branch_master	id	1	0	PRIMARY
branch_master	call_centre_code	1	0	ux_branch_cc_code
business_action_activity_log	action_id	1	1	idx_baal_action
business_action_activity_log	id	1	0	PRIMARY
business_action_comment	action_id	1	1	idx_bac_action
business_action_comment	id	1	0	PRIMARY
business_action_queue	due_date	1	1	idx_baq_due
business_action_queue	owner_user_id	1	1	idx_baq_owner
business_action_queue	severity	1	1	idx_baq_severity
business_action_queue	source_module	1	1	idx_baq_source
business_action_queue	status	1	1	idx_baq_status
business_action_queue	id	1	0	PRIMARY
campaign_master	campaign_code	1	0	campaign_code
campaign_master	lob_id	1	1	lob_id
campaign_master	id	1	0	PRIMARY
campaign_master	process_id	1	1	process_id
candidate_bank_verification	candidate_id	1	1	idx_candidate_bank_verification_candidate
candidate_bank_verification	verification_status	1	1	idx_candidate_bank_verification_status
candidate_bank_verification	id	1	0	PRIMARY
candidate_bgv_api_request_log	candidate_id	1	1	idx_candidate_bgv_api_candidate
candidate_bgv_api_request_log	check_id	1	1	idx_candidate_bgv_api_check
candidate_bgv_api_request_log	id	1	0	PRIMARY
candidate_bgv_check	candidate_id	1	1	idx_candidate_bgv_check_candidate
candidate_bgv_check	provider_request_id	1	1	idx_candidate_bgv_check_provider_request
candidate_bgv_check	check_type	1	1	idx_candidate_bgv_check_type_status
candidate_bgv_check	status	2	1	idx_candidate_bgv_check_type_status
candidate_bgv_check	id	1	0	PRIMARY
candidate_bgv_consent	candidate_id	1	1	idx_candidate_bgv_consent_candidate
candidate_bgv_consent	consent_status	1	1	idx_candidate_bgv_consent_status
candidate_bgv_consent	id	1	0	PRIMARY
candidate_bgv_exception	candidate_id	1	1	idx_candidate_bgv_exception_candidate
candidate_bgv_exception	check_id	1	1	idx_candidate_bgv_exception_check
candidate_bgv_exception	id	1	0	PRIMARY
candidate_bgv_provider_config	id	1	0	PRIMARY
candidate_bgv_provider_config	provider_key	1	0	uq_candidate_bgv_provider_key
candidate_bgv_report	overall_status	1	1	idx_bgv_status
candidate_bgv_report	id	1	0	PRIMARY
candidate_bgv_report	candidate_id	1	0	uq_bgv_candidate
candidate_bgv_vendor_dispatch	candidate_id	1	1	idx_bgv_vd_candidate
candidate_bgv_vendor_dispatch	check_id	1	1	idx_bgv_vd_check
candidate_bgv_vendor_dispatch	status	1	1	idx_bgv_vd_status
candidate_bgv_vendor_dispatch	id	1	0	PRIMARY
candidate_bgv_verification_event	candidate_id	1	1	idx_candidate_bgv_event_candidate
candidate_bgv_verification_event	check_id	1	1	idx_candidate_bgv_event_check
candidate_bgv_verification_event	event_type	1	1	idx_candidate_bgv_event_type
candidate_bgv_verification_event	id	1	0	PRIMARY
candidate_digilocker_session	candidate_id	1	1	idx_candidate_digilocker_candidate
candidate_digilocker_session	id	1	0	PRIMARY
candidate_digilocker_session	state_token	1	0	uq_candidate_digilocker_state
candidate_name_match_detail	candidate_id	1	1	idx_candidate_source
candidate_name_match_detail	source_type	2	1	idx_candidate_source
candidate_name_match_detail	id	1	0	PRIMARY
candidate_name_match_summary	candidate_id	1	1	idx_candidate
candidate_name_match_summary	id	1	0	PRIMARY
candidate_name_match_summary	candidate_id	1	0	uq_candidate
candidate_name_override_audit	candidate_id	1	1	idx_candidate
candidate_name_override_audit	id	1	0	PRIMARY
candidate_onboarding_audit_log	candidate_id	1	1	idx_candidate
candidate_onboarding_audit_log	id	1	0	PRIMARY
